Country Name,2018
Afghanistan,652860
Albania,27400
Algeria,2381740
American Samoa,200
Andorra,470
Angola,1246700
Antigua and Barbuda,440
Argentina,2736690
Armenia,28470
Aruba,180
Australia,7692020
Austria,82523
Azerbaijan,82670
"Bahamas, The",10010
Bahrain,778
Bangladesh,130170
Barbados,430
Belarus,202988
Belgium,30280
Belize,22810
Benin,112760
Bermuda,54
Bhutan,38144
Bolivia,1083300
Bosnia and Herzegovina,51200
Botswana,566730
Brazil,8358140
British Virgin Islands,150
Brunei Darussalam,5270
Bulgaria,108560
Burkina Faso,273600
Burundi,25680
Cabo Verde,4030
Cambodia,176520
Cameroon,472710
Canada,9093510
Cayman Islands,240
Central African Republic,622980
Chad,1259200
Channel Islands,198
Chile,743532
China,9388210
Colombia,1109500
Comoros,1861
"Congo, Dem. Rep.",2267050
"Congo, Rep.",341500
Costa Rica,51060
Cote d'Ivoire,318000
Croatia,55960
Cuba,104020
Curacao,0
Cyprus,9240
Czech Republic,77220
Denmark,41990
Djibouti,23180
Dominica,750
Dominican Republic,48310
Ecuador,248360
"Egypt, Arab Rep.",995450
El Salvador,20720
Equatorial Guinea,28050
Eritrea,101000
Estonia,43470
Eswatini,17200
Ethiopia,1000000
Faroe Islands,1396
Fiji,18270
Finland,303910
France,547557
French Polynesia,3660
Gabon,257670
"Gambia, The",10120
Georgia,69490
Germany,349360
Ghana,227540
Gibraltar,10
Greece,128900
Greenland,410450
Grenada,340
Guam,540
Guatemala,107160
Guinea,245720
Guinea-Bissau,28120
Guyana,196850
Haiti,27560
Honduras,111890
"Hong Kong SAR, China",1050
Hungary,90530
Iceland,100250
India,2973190
Indonesia,1811570
"Iran, Islamic Rep.",1628760
Iraq,434128
Ireland,68890
Isle of Man,570
Israel,21640
Italy,294140
Jamaica,10830
Japan,364560
Jordan,88780
Kazakhstan,2699700
Kenya,569140
Kiribati,810
"Korea, Dem. People’s Rep.",120410
"Korea, Rep.",97489
Kosovo,0
Kuwait,17820
Kyrgyz Republic,191800
Lao PDR,230800
Latvia,62180
Lebanon,10230
Lesotho,30360
Liberia,96320
Libya,1759540
Liechtenstein,160
Lithuania,62642
Luxembourg,2430
"Macao SAR, China",30
"Macedonia, FYR",25220
Madagascar,581800
Malawi,94280
Malaysia,328550
Maldives,300
Mali,1220190
Malta,320
Marshall Islands,180
Mauritania,1030700
Mauritius,2030
Mexico,1943950
"Micronesia, Fed. Sts.",700
Moldova,32890
Monaco,0
Mongolia,1553560
Montenegro,13450
Morocco,446300
Mozambique,786380
Myanmar,653080
Namibia,823290
Nauru,20
Nepal,143350
Netherlands,33690
New Caledonia,18280
New Zealand,263310
Nicaragua,120340
Niger,1266700
Nigeria,910770
Northern Mariana Islands,460
Norway,365123
Oman,309500
Pakistan,770880
Palau,460
Panama,74340
Papua New Guinea,452860
Paraguay,397300
Peru,1280000
Philippines,298170
Poland,306190
Portugal,91606
Puerto Rico,8870
Qatar,11610
Romania,230080
Russian Federation,16376870
Rwanda,24670
Samoa,2830
San Marino,60
Sao Tome and Principe,960
Saudi Arabia,2149690
Senegal,192530
Serbia,87460
Seychelles,460
Sierra Leone,72180
Singapore,709
Sint Maarten (Dutch part),0
Slovak Republic,48080
Slovenia,20142
Solomon Islands,27990
Somalia,627340
South Africa,1213090
South Sudan,0
Spain,499564
Sri Lanka,62710
St. Kitts and Nevis,260
St. Lucia,610
St. Martin (French part),0
St. Vincent and the Grenadines,390
Sudan,0
Suriname,156000
Sweden,407310
Switzerland,39516
Syrian Arab Republic,183630
Tajikistan,138790
Tanzania,885800
Thailand,510890
Timor-Leste,14870
Togo,54390
Tonga,720
Trinidad and Tobago,5130
Tunisia,155360
Turkey,769630
Turkmenistan,469930
Turks and Caicos Islands,950
Tuvalu,30
Uganda,200520
Ukraine,579290
United Arab Emirates,71020
United Kingdom,241930
United States,9147420
Uruguay,175020
Uzbekistan,425400
Vanuatu,12190
"Venezuela, RB",882050
Vietnam,310070
Virgin Islands (U.S.),350
West Bank and Gaza,6020
"Yemen, Rep.",527970
Zambia,743390
Zimbabwe,386850
